"id","glytoucan","taxon","resource","resource_id"
"146","G91237TK","9823","carbbank","32556"
"140","G79389NT","9823","carbbank","32557"
"124","G48558GR","9913","carbbank","32558"
"124","G48558GR","9823","carbbank","32558"
"132","G98544DH","9823","carbbank","32559"
"376","G46677TE","9913","carbbank","32560"
"376","G46677TE","9823","carbbank","32560"
"377","G37184KW","9913","carbbank","32561"
"377","G37184KW","9823","carbbank","32561"
"147","G40183QN","9913","carbbank","32562"
"147","G40183QN","9823","carbbank","32562"
"16374","G65739XY","727","carbbank","32563"
"312","G39023AU","11676","carbbank","32565"
"971","G84020NP","9606","carbbank","32567"
"26","G69008LN","5476","carbbank","32569"
"842","G67316TW","5476","carbbank","32570"
"30","G13237OG","5476","carbbank","32571"
"2161","G24267LX","5476","carbbank","32572"
"2134","G15538XJ","5476","carbbank","32573"
"6252","G49656BH","5476","carbbank","32574"
"15850","G38228VJ","5476","carbbank","32575"
"5812","G90842AG","5476","carbbank","32576"
"462","G99225ZM","70803","carbbank","32578"
"462","G99225ZM","584","carbbank","32578"
"462","G99225ZM","562","carbbank","32578"
"146","G91237TK","9823","carbbank","32583"
"140","G79389NT","9823","carbbank","32584"
"124","G48558GR","9823","carbbank","32585"
"132","G98544DH","9823","carbbank","32586"
"376","G46677TE","9823","carbbank","32587"
"377","G37184KW","9823","carbbank","32588"
"147","G40183QN","9823","carbbank","32589"
"7126","G99560WF","99300","carbbank","3259"
"118","G84224TW","9823","carbbank","32590"
"120","G00059MO","9823","carbbank","32591"
"9518","G44037XE","5207","carbbank","32593"
"16375","G93258EN","573","carbbank","32595"
"587","G67988RO","562","carbbank","32599"
"16376","G07155UH","727","carbbank","326"
"9526","G53868KU","5482","carbbank","32603"
"9527","G39637GN","5482","carbbank","32604"
"15518","G81167ZQ","10114","carbbank","32605"
"278","G53402KW","5476","carbbank","32606"
"9529","G09507TI","5476","carbbank","32607"
"389","G25559RS","5476","carbbank","32608"
"9530","G52706OU","5476","carbbank","32609"
"7126","G99560WF","193339","carbbank","3261"
"26","G69008LN","5476","carbbank","32610"
"30","G13237OG","5476","carbbank","32611"
"2134","G15538XJ","5476","carbbank","32612"
"2161","G24267LX","5476","carbbank","32613"
"6058","G48242VM","5476","carbbank","32614"
"6057","G26932JI","5476","carbbank","32615"
"16377","G97949MA","487","carbbank","32616"
"9531","G14511SS","5476","carbbank","32617"
"1794","G78281SV","562","carbbank","32618"
"1794","G78281SV","487","carbbank","32618"
"462","G99225ZM","70803","carbbank","32619"
"466","G94388UY","70803","carbbank","32620"
"462","G99225ZM","287","carbbank","32621"
"462","G99225ZM","536","carbbank","32622"
"245","G92130SN","1773","carbbank","32627"
"7910","G37364EM","1773","carbbank","32628"
"7996","G92266BR","585","carbbank","32629"
